R&D Spend,Administration,Marketing Spend,State
20229.59,65947.93,185265.1,New York
38558.51,82982.09,174999.3,California
28754.33,118546.05,172795.67,California
27892.92,84710.77,164470.71,Florida
23640.93,96189.63,148001.11,California
15505.73,127382.3,35534.17,New York
22177.74,154806.14,28334.72,California
1000.23,124153.04,1903.93,New York
1315.46,115816.21,297114.46,Florida
11345.87,135426.92,56789.76,California
542.05,51743.15,43678.87,New York
3465.91,116983.8,45173.06,California
